Index,Year,Month,AZ_Phoenix,CA_LosAngeles,CA_SanDiego,CA_SanFrancisco,CO_Denver,DC_Washington,FL_Miami,FL_Tampa,GA_Atlanta,IL_Chicago,MA_Boston,MI_Detroit,MN_Minneapolis,NC_Charlotte,NV_LasVegas,NY_NewYork,OH_Cleveland,OR_Portland,WA_Seattle,Composite_10,Date
1,1991,January,65.26,95.28,83.13,71.17,48.67,89.38,79.08,81.75,69.61,70.04,64.97,58.24,64.21,73.32,80.96,74.59,68.24,56.53,65.53,78.53,1/1/1991
2,1991,February,65.29,94.12,81.87,70.27,48.68,88.8,78.55,81.76,69.17,70.5,64.17,57.76,64.2,73.26,81.58,73.69,67.96,56.94,64.6,77.77,2/1/1991
3,1991,March,64.6,92.83,80.89,69.56,48.85,87.59,78.44,81.43,69.05,70.63,63.57,57.63,64.19,72.75,81.65,72.87,68.18,58.03,64.47,77,3/1/1991
4,1991,April,64.35,92.83,80.73,69.46,49.2,87.56,78.55,81.46,69.4,71.09,63.35,57.85,64.3,72.88,81.67,72.29,69.1,58.39,65.09,76.86,4/1/1991
5,1991,May,64.37,93.37,81.41,70.13,49.51,88.61,77.95,81.33,69.69,71.36,63.84,58.36,64.75,73.26,82.02,72.63,69.92,58.9,66.03,77.31,5/1/1991
6,1991,June,64.88,94.25,82.2,70.83,50.09,89.28,78.49,81.77,70.14,71.66,64.25,58.9,64.95,73.49,81.91,73.5,70.55,59.54,66.68,78.02,6/1/1991
7,1991,July,65.5,94.85,82.59,71.39,50.55,89.57,78.64,81.85,70.12,72.16,64.49,59.29,65.65,73.61,83.35,74.39,71.09,59.89,66.93,78.61,7/1/1991
8,1991,August,65.87,95.21,82.47,71.52,50.86,89.13,79.56,82.1,70.48,72.62,64.79,59.65,65.94,73.59,84.07,74.9,71.31,60.17,67.04,78.93,8/1/1991
9,1991,September,66.04,94.92,82.2,71.55,50.9,88.82,79.27,81.65,70.35,72.59,64.83,59.7,66.14,73.38,85.46,75.06,71.65,60.2,66.99,78.88,9/1/1991
10,1991,October,65.84,94.51,82.02,71.21,50.99,88.62,79.31,81.52,70.29,72.43,64.71,59.84,65.73,73.58,83.81,75.01,71.52,60.64,66.48,78.68,10/1/1991
11,1991,November,66.1,93.67,81.76,70.69,51.03,88.75,79.29,81.69,70.09,72.23,64.05,59.71,65.68,73.52,81.98,74.84,71.42,60.59,66.13,78.31,11/1/1991
12,1991,December,65.95,93.01,81.14,70.05,51.08,88.29,79.09,81.75,69.9,72.45,63.69,59.78,65.81,73.8,82.87,74.74,71,61.08,65.7,77.99,12/1/1991
